Sex,Sport,Year (classe),Nb
M,Track and Field: Pole Vault,2000,36
F,Track and Field: High Jump,2000,38
M,Swimming (all strokes): Distance,2000,41
F,Curling,2000,47
M,Curling,2000,49
F,Skiing: Freestyle,2000,50
M,Skiing: Freestyle,2000,55
F,Cycling: Sprints,2000,64
F,"Track and Field: Long, Triple jumps",2000,66
F,Figure Skating,2000,71
F,Bobsledding/Luge,2000,72
M,Figure Skating,2000,72
F,Water Polo,2000,78
F,Track and Field: Middle Distance,2000,80
F,Weight-Lifting,2000,85
M,"Track and Field: Long, Triple jumps",2000,93
F,Archery,2000,100
F,Equestrian,2000,100
F,Canoe/Kayak,2000,103
F,Cycling: Distance,2000,104
M,Archery,2000,106
M,Badminton,2000,106
F,Diving,2000,115
F,Badminton,2000,119
F,Baseball/Softball,2000,120
F,Track and Field: Weights,2000,120
M,Tennis,2000,122
M,Diving,2000,123
F,Football,2000,124
F,Tennis,2000,126
F,Table Tennis,2000,132
F,Fencing,2000,134
M,Table Tennis,2000,136
F,Basketball,2000,142
M,Track and Field: Middle Distance,2000,142
M,Basketball,2000,144
F,Team Handball,2000,146
M,Water Polo,2000,153
F,Ice Hockey,2000,156
F,Field Hockey,2000,159
M,Weight-Lifting,2000,161
M,Track and Field: Weights,2000,162
M,Team Handball,2000,177
M,Ski Jumping,2000,178
F,Volleyball,2000,186
M,Volleyball,2000,189
M,Field Hockey,2000,191
M,Baseball/Softball,2000,192
F,Rowing,2000,194
M,Equestrian,2000,195
M,Cycling: Sprints,2000,199
F,Track and Field: Distance,2000,200
F,Martial Arts,2000,209
M,Fencing,2000,215
F,Shooting,2000,225
F,Skiing: Alpine,2000,248
M,Cycling: Distance,2000,254
M,Football,2000,267
M,Track and Field: Distance,2000,273
F,Speed Skating,2000,274
M,Martial Arts,2000,291
M,Boxing,2000,307
M,Speed Skating,2000,309
M,Skiing: Alpine,2000,311
M,Ice Hockey,2000,312
M,Wrestling,2000,314
M,Bobsledding/Luge,2000,324
M,Canoe/Kayak,2000,345
F,Skiing: Nordic,2000,354
M,Rowing,2000,367
M,Shooting,2000,374
M,Skiing: Nordic,2000,420
F,Track and Field: Sprints,2000,464
F,Gymnastics,2000,598
M,Gymnastics,2000,654
M,Track and Field: Sprints,2000,658
F,Swimming (all strokes): Sprints,2000,727
M,Swimming (all strokes): Sprints,2000,947
F,Swimming (all strokes): Distance,2004,29
F,Track and Field: High Jump,2004,34
M,Swimming (all strokes): Distance,2004,34
F,Track and Field: Pole Vault,2004,35
M,Track and Field: High Jump,2004,38
M,Track and Field: Pole Vault,2004,39
M,Curling,2004,45
F,Curling,2004,46
F,Wrestling,2004,50
F,Skiing: Freestyle,2004,53
F,Cycling: Sprints,2004,61
M,Skiing: Freestyle,2004,63
F,"Track and Field: Long, Triple jumps",2004,72
F,Figure Skating,2004,73
M,Figure Skating,2004,74
F,Bobsledding/Luge,2004,77
F,Weight-Lifting,2004,85
M,"Track and Field: Long, Triple jumps",2004,87
F,Track and Field: Middle Distance,2004,88
M,Diving,2004,97
F,Diving,2004,99
M,Badminton,2004,99
F,Badminton,2004,101
F,Water Polo,2004,101
M,Archery,2004,103
F,Archery,2004,109
F,Canoe/Kayak,2004,112
F,Cycling: Distance,2004,116
F,Baseball/Softball,2004,118
F,Equestrian,2004,118
F,Fencing,2004,119
M,Tennis,2004,124
F,Tennis,2004,128
M,Table Tennis,2004,128
F,Table Tennis,2004,132
F,Basketball,2004,143
M,Basketball,2004,144
M,Track and Field: Weights,2004,146
F,Team Handball,2004,149
M,Track and Field: Middle Distance,2004,149
M,Water Polo,2004,154
F,Field Hockey,2004,160
F,Ice Hockey,2004,160
M,Weight-Lifting,2004,164
F,Football,2004,166
F,Track and Field: Weights,2004,173
M,Team Handball,2004,179
F,Volleyball,2004,188
M,Baseball/Softball,2004,191
M,Volleyball,2004,191
M,Field Hockey,2004,192
M,Cycling: Sprints,2004,193
F,Rowing,2004,195
F,Shooting,2004,199
M,Ski Jumping,2004,202
M,Fencing,2004,204
F,Track and Field: Distance,2004,211
F,Martial Arts,2004,217
M,Cycling: Distance,2004,253
M,Equestrian,2004,253
M,Football,2004,259
M,Track and Field: Distance,2004,263
M,Bobsledding/Luge,2004,264
F,Skiing: Alpine,2004,267
M,Boxing,2004,280
M,Ice Hockey,2004,282
M,Martial Arts,2004,291
M,Wrestling,2004,292
F,Speed Skating,2004,303
M,Speed Skating,2004,315
M,Canoe/Kayak,2004,322
M,Skiing: Alpine,2004,352
F,Track and Field: Sprints,2004,354
M,Shooting,2004,359
M,Rowing,2004,364
F,Skiing: Nordic,2004,366
M,Track and Field: Sprints,2004,413
M,Skiing: Nordic,2004,446
F,Gymnastics,2004,607
M,Gymnastics,2004,660
F,Swimming (all strokes): Sprints,2004,705
M,Swimming (all strokes): Sprints,2004,850
F,Track and Field: High Jump,2008,32
F,Track and Field: Pole Vault,2008,36
M,Track and Field: Pole Vault,2008,38
M,Track and Field: High Jump,2008,40
F,Curling,2008,46
M,Curling,2008,47
F,Cycling: Sprints,2008,50
F,Swimming (all strokes): Distance,2008,60
M,Swimming (all strokes): Distance,2008,60
F,Wrestling,2008,66
F,Figure Skating,2008,73
M,Figure Skating,2008,73
M,"Track and Field: Long, Triple jumps",2008,77
F,"Track and Field: Long, Triple jumps",2008,78
F,Skiing: Freestyle,2008,85
F,Weight-Lifting,2008,87
M,Skiing: Freestyle,2008,87
M,Badminton,2008,89
F,Bobsledding/Luge,2008,90
F,Diving,2008,91
M,Diving,2008,91
F,Archery,2008,94
F,Badminton,2008,95
M,Archery,2008,100
F,Water Polo,2008,103
F,Cycling: Distance,2008,118
F,Baseball/Softball,2008,120
F,Canoe/Kayak,2008,120
F,Table Tennis,2008,125
M,Table Tennis,2008,125
F,Tennis,2008,126
F,Track and Field: Middle Distance,2008,126
M,Tennis,2008,128
F,Equestrian,2008,131
F,Basketball,2008,143
M,Basketball,2008,144
M,Track and Field: Middle Distance,2008,145
M,Track and Field: Weights,2008,152
M,Water Polo,2008,153
F,Ice Hockey,2008,160
F,Fencing,2008,164
M,Weight-Lifting,2008,166
M,Fencing,2008,168
M,Ski Jumping,2008,170
F,Team Handball,2008,171
M,Team Handball,2008,172
F,Track and Field: Weights,2008,177
F,Volleyball,2008,188
M,Cycling: Sprints,2008,188
F,Field Hockey,2008,191
F,Track and Field: Distance,2008,191
M,Baseball/Softball,2008,191
M,Volleyball,2008,191
F,Football,2008,195
M,Field Hockey,2008,196
F,Rowing,2008,198
M,Equestrian,2008,209
F,Shooting,2008,214
F,Martial Arts,2008,219
M,Cycling: Distance,2008,248
M,Ice Hockey,2008,260
M,Bobsledding/Luge,2008,263
M,Football,2008,274
M,Wrestling,2008,277
M,Track and Field: Distance,2008,282
M,Boxing,2008,283
M,Martial Arts,2008,293
F,Skiing: Alpine,2008,304
F,Speed Skating,2008,316
M,Canoe/Kayak,2008,316
M,Speed Skating,2008,323
F,Skiing: Nordic,2008,351
M,Shooting,2008,363
M,Rowing,2008,365
M,Skiing: Nordic,2008,374
M,Skiing: Alpine,2008,381
F,Track and Field: Sprints,2008,385
M,Track and Field: Sprints,2008,402
F,Gymnastics,2008,546
M,Gymnastics,2008,577
F,Swimming (all strokes): Sprints,2008,770
M,Swimming (all strokes): Sprints,2008,859
F,Ski Jumping,2012,30
M,Track and Field: Pole Vault,2012,32
F,Track and Field: High Jump,2012,34
M,Track and Field: High Jump,2012,35
F,Boxing,2012,36
F,Track and Field: Pole Vault,2012,39
F,Curling,2012,43
M,Curling,2012,44
M,Swimming (all strokes): Distance,2012,56
F,Swimming (all strokes): Distance,2012,59
F,"Track and Field: Long, Triple jumps",2012,65
M,"Track and Field: Long, Triple jumps",2012,69
F,Wrestling,2012,76
F,Diving,2012,88
M,Badminton,2012,88
M,Diving,2012,93
F,Badminton,2012,94
F,Cycling: Distance,2012,96
F,Archery,2012,100
M,Archery,2012,100
F,Bobsledding/Luge,2012,101
F,Water Polo,2012,102
F,Weight-Lifting,2012,103
M,Figure Skating,2012,110
F,Figure Skating,2012,111
F,Cycling: Sprints,2012,112
M,Table Tennis,2012,117
F,Table Tennis,2012,119
F,Skiing: Freestyle,2012,123
F,Track and Field: Middle Distance,2012,130
F,Equestrian,2012,132
M,Track and Field: Middle Distance,2012,137
M,Skiing: Freestyle,2012,141
F,Tennis,2012,142
F,Basketball,2012,143
M,Basketball,2012,144
M,Tennis,2012,144
F,Track and Field: Weights,2012,145
M,Cycling: Sprints,2012,146
M,Weight-Lifting,2012,149
F,Canoe/Kayak,2012,153
M,Water Polo,2012,155
F,Ice Hockey,2012,158
M,Track and Field: Weights,2012,166
M,Ski Jumping,2012,170
F,Team Handball,2012,171
M,Fencing,2012,171
F,Fencing,2012,174
M,Team Handball,2012,176
F,Field Hockey,2012,191
F,Volleyball,2012,191
M,Cycling: Distance,2012,191
M,Volleyball,2012,192
M,Field Hockey,2012,196
F,Rowing,2012,197
F,Football,2012,200
F,Martial Arts,2012,217
M,Equestrian,2012,218
F,Shooting,2012,229
F,Track and Field: Distance,2012,236
M,Boxing,2012,247
M,Wrestling,2012,263
M,Canoe/Kayak,2012,265
M,Football,2012,267
M,Ice Hockey,2012,285
M,Martial Arts,2012,295
M,Track and Field: Distance,2012,295
F,Skiing: Alpine,2012,303
F,Speed Skating,2012,315
M,Speed Skating,2012,322
M,Bobsledding/Luge,2012,324
M,Shooting,2012,331
F,Skiing: Nordic,2012,348
M,Rowing,2012,353
M,Skiing: Alpine,2012,384
F,Track and Field: Sprints,2012,410
M,Track and Field: Sprints,2012,416
M,Skiing: Nordic,2012,417
M,Gymnastics,2012,482
F,Gymnastics,2012,493
M,Swimming (all strokes): Sprints,2012,707
F,Swimming (all strokes): Sprints,2012,716
M,Track and Field: Pole Vault,2016,31
F,Track and Field: High Jump,2016,35
F,Boxing,2016,36
F,Track and Field: Pole Vault,2016,36
M,Track and Field: High Jump,2016,44
F,Swimming (all strokes): Distance,2016,53
F,Golf,2016,60
M,Golf,2016,60
M,Swimming (all strokes): Distance,2016,70
F,"Track and Field: Long, Triple jumps",2016,75
M,"Track and Field: Long, Triple jumps",2016,79
F,Badminton,2016,88
F,Diving,2016,89
M,Badminton,2016,89
M,Diving,2016,89
F,Cycling: Distance,2016,97
F,Archery,2016,100
M,Archery,2016,100
F,Weight-Lifting,2016,103
F,Water Polo,2016,104
F,Wrestling,2016,112
F,Table Tennis,2016,118
M,Table Tennis,2016,118
F,Equestrian,2016,131
F,Track and Field: Weights,2016,133
F,Cycling: Sprints,2016,136
M,Track and Field: Weights,2016,138
F,Basketball,2016,140
M,Basketball,2016,141
F,Tennis,2016,143
M,Tennis,2016,143
M,Track and Field: Middle Distance,2016,144
F,Rugby,2016,148
M,Rugby,2016,151
M,Weight-Lifting,2016,152
M,Water Polo,2016,154
M,Cycling: Sprints,2016,157
F,Track and Field: Middle Distance,2016,159
F,Canoe/Kayak,2016,162
M,Fencing,2016,172
F,Fencing,2016,174
F,Team Handball,2016,176
M,Team Handball,2016,177
M,Volleyball,2016,189
F,Volleyball,2016,190
M,Cycling: Distance,2016,193
F,Field Hockey,2016,194
M,Field Hockey,2016,196
F,Football,2016,203
F,Shooting,2016,214
F,Martial Arts,2016,216
F,Rowing,2016,219
M,Equestrian,2016,224
M,Wrestling,2016,234
M,Boxing,2016,247
M,Football,2016,270
M,Canoe/Kayak,2016,279
M,Martial Arts,2016,299
F,Track and Field: Distance,2016,300
M,Rowing,2016,331
M,Shooting,2016,341
M,Track and Field: Distance,2016,394
M,Track and Field: Sprints,2016,438
F,Track and Field: Sprints,2016,439
M,Gymnastics,2016,494
F,Gymnastics,2016,495
F,Swimming (all strokes): Sprints,2016,708
M,Swimming (all strokes): Sprints,2016,737
